aldipee – [2018:08:28- 11:26:06] -[/80/index.php]  -[/80/index.php]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:26:07] -[/80/index.php]  -[/80/index.php]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:26:19] -[/80/index.php]  -[/80/index.php]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:26:57] -[/80/index.php]  -[/80/index.php]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:27:04] -[/80/index.php]  -[/80/index.php]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:27:17] -[/80/index.php]  -[/80/index.php?page=view_surat&id=71]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:27:50] -[/80/index.php]  -[/80/index.php?page=view_surat&id=71]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:27:51] -[/80/index.php]  -[/80/index.php?page=view_surat&id=71]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:27:51] -[/80/index.php]  -[/80/index.php?page=view_surat&id=71]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
aldipee – [2018:08:28- 11:28:08] -[/80/index.php]  -[/80/index.php?page=view_surat&id=71]  -(Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36) END=>>
